total_events,active_days,unique_materials,after_hours_events,weekend_events,avg_events_per_active_day,assessments_attempted,avg_assessment_score,max_assessment_score,final_mark,pass_assessment_count,fail_assessment_count,top_material_type_Course Page,top_material_type_Lecture Material,top_material_type_No Activity
134,21,26,64,13,6.380952380952381,13,29.192307692307693,63.0,18.0,4,9,False,True,False
551,30,28,345,60,18.366666666666667,13,41.04076923076923,80.0,23.0,7,6,True,False,False
49,5,9,2,48,9.8,8,0.0,0.0,0.0,0,8,True,False,False
193,18,42,172,40,10.72222222222222,18,83.51333333333334,100.0,70.0,18,0,False,False,False
852,92,60,469,168,9.26086956521739,18,80.74944444444445,100.0,0.0,18,0,True,False,False
367,38,26,107,75,9.657894736842104,16,78.708125,100.0,60.0,15,1,True,False,False
170,21,27,118,58,8.095238095238095,11,57.0,100.0,11.0,7,4,False,False,False
166,22,35,63,9,7.545454545454546,17,82.27794117647058,100.0,60.0,16,1,False,False,False
1203,111,36,221,239,10.83783783783784,18,93.67422222222224,100.0,83.0,18,0,True,False,False
384,48,32,109,98,8.0,18,67.00533333333334,100.0,48.0,12,6,True,False,False
317,43,31,69,101,7.372093023255814,18,79.67277777777777,100.0,49.0,15,3,True,False,False
211,40,22,90,30,5.275,15,58.13866666666667,90.0,36.0,10,5,True,False,False
375,47,29,104,82,7.97872340425532,17,69.3529411764706,100.0,63.0,16,1,True,False,False
189,26,24,79,31,7.269230769230769,17,64.2570588235294,100.0,52.0,14,3,False,False,False
120,14,16,27,13,8.571428571428571,17,55.28823529411765,100.0,41.0,9,8,False,False,False
415,47,37,205,80,8.829787234042554,15,33.92333333333333,70.0,18.0,4,11,False,True,False
157,22,22,85,4,7.136363636363637,18,77.41944444444444,100.0,68.0,18,0,False,False,False
265,37,26,83,78,7.162162162162162,13,54.888461538461534,100.0,25.0,6,7,True,False,False
96,15,20,45,10,6.4,12,16.75,80.0,5.0,2,10,True,False,False
846,84,39,256,166,10.071428571428571,18,61.94611111111111,92.0,45.0,12,6,True,False,False
244,32,23,120,39,7.625,18,69.19444444444444,100.0,62.0,18,0,False,True,False
92,22,13,66,15,4.181818181818182,16,45.76125,65.0,26.0,10,6,False,False,False
359,51,22,145,87,7.03921568627451,17,69.09529411764706,83.85,56.0,16,1,True,False,False
109,19,12,27,28,5.7368421052631575,12,71.175,100.0,62.0,10,2,True,False,False
321,40,22,154,30,8.025,17,56.811764705882354,100.0,34.0,12,5,False,False,False
8,3,4,6,0,2.6666666666666665,8,0.0,0.0,0.0,0,8,True,False,False
157,18,18,49,16,8.722222222222221,10,19.408,50.0,10.0,1,9,True,False,False
54,13,13,27,10,4.153846153846154,12,46.56666666666666,100.0,10.0,6,6,True,False,False
1221,84,42,307,252,14.535714285714286,18,78.46666666666667,100.0,75.0,17,1,True,False,False
127,18,13,91,43,7.055555555555555,9,39.04333333333333,78.0,23.0,4,5,True,False,False
733,50,30,296,161,14.66,18,64.6,90.0,38.0,13,5,True,False,False
2,1,2,0,0,2.0,8,0.0,0.0,0.0,0,8,True,False,False
220,28,34,152,39,7.857142857142857,7,8.442857142857143,50.0,1.0,1,6,True,False,False
0,0,0,0,0,0.0,9,0.0,0.0,0.0,0,9,False,False,True
301,48,20,244,87,6.270833333333333,18,54.778333333333336,94.0,46.0,11,7,True,False,False
47,6,9,5,0,7.833333333333333,8,27.1375,90.0,5.0,2,6,False,False,False
230,27,33,108,45,8.518518518518519,11,41.49090909090909,80.0,25.0,5,6,True,False,False
418,37,31,214,88,11.297297297297296,15,47.419999999999995,95.0,27.0,7,8,True,False,False
261,40,25,71,64,6.525,18,74.32777777777778,100.0,60.0,16,2,True,False,False
402,58,26,119,59,6.931034482758621,18,85.01944444444445,100.0,83.0,18,0,False,True,False
257,25,34,153,18,10.28,16,73.29125,100.0,45.0,13,3,False,False,False
43,8,9,15,13,5.375,10,26.160000000000004,100.0,5.0,3,7,True,False,False
254,35,41,64,8,7.257142857142857,16,49.39125,84.0,60.0,9,7,False,True,False
176,34,18,87,41,5.176470588235294,10,46.4,75.0,22.0,6,4,False,True,False
325,50,23,92,61,6.5,18,60.09777777777778,100.0,30.0,12,6,True,False,False
267,42,21,60,79,6.357142857142857,15,52.83266666666667,100.0,37.0,7,8,True,False,False
248,30,18,85,9,8.266666666666667,12,70.69583333333334,100.0,40.0,8,4,True,False,False
112,10,16,82,2,11.2,11,46.60909090909092,100.0,17.0,5,6,False,True,False
511,76,38,129,125,6.723684210526316,18,33.31444444444444,75.0,25.0,4,14,False,True,False
57,20,5,8,6,2.85,12,35.979166666666664,75.0,10.0,5,7,True,False,False
611,63,36,334,99,9.698412698412698,17,73.32588235294118,100.0,43.0,13,4,True,False,False
101,21,18,44,17,4.809523809523809,12,48.21333333333333,100.0,24.0,5,7,False,False,False
669,89,33,185,153,7.51685393258427,18,83.38333333333334,100.0,75.0,18,0,True,False,False
356,55,25,169,50,6.472727272727273,18,85.8338888888889,100.0,86.0,17,1,True,False,False
494,65,24,261,106,7.6,17,69.77058823529411,100.0,55.0,13,4,True,False,False
409,43,27,225,101,9.511627906976743,13,32.2,60.0,15.0,5,8,True,False,False
105,12,17,90,27,8.75,13,62.03653846153846,95.0,58.0,10,3,True,False,False
387,46,28,135,68,8.41304347826087,15,23.936666666666667,55.0,20.0,4,11,True,False,False
188,31,24,45,7,6.064516129032258,16,32.703125,60.0,33.0,3,13,True,False,False
