total_events,active_days,unique_materials,after_hours_events,weekend_events,events_per_week,weekend_ratio,after_hours_ratio,lecture_material_views,assignment_views,course_page_views,forum_views,no_activity_flag
733,68,27,439,250,75.45588235294119,0.3410641200545702,0.5989085948158254,201,137,384,1,0
145,23,16,67,31,44.130434782608695,0.2137931034482758,0.4620689655172413,49,29,66,0,0
748,69,41,322,144,75.88405797101449,0.1925133689839572,0.4304812834224599,91,227,378,1,0
212,36,15,16,4,41.22222222222222,0.0188679245283018,0.0754716981132075,34,60,115,3,0
221,28,16,77,28,55.25,0.1266968325791855,0.3484162895927601,50,48,123,0,0
103,6,13,6,32,120.16666666666669,0.3106796116504854,0.058252427184466,37,21,45,0,0
311,51,28,149,41,42.68627450980392,0.1318327974276527,0.4790996784565916,60,78,152,13,0
551,30,28,345,60,128.56666666666666,0.1088929219600726,0.6261343012704175,76,49,410,9,0
1221,84,42,307,252,101.75,0.2063882063882063,0.2514332514332514,264,268,630,30,0
478,62,56,257,73,53.967741935483865,0.1527196652719665,0.5376569037656904,68,193,193,8,0
158,23,15,87,24,48.08695652173913,0.1518987341772152,0.5506329113924051,15,48,90,3,0
176,34,18,87,41,36.235294117647065,0.2329545454545454,0.4943181818181818,70,39,63,2,0
257,25,34,153,18,71.96,0.0700389105058365,0.5953307392996109,17,147,92,1,0
7,5,3,1,2,9.8,0.2857142857142857,0.1428571428571428,0,2,4,1,0
379,49,37,83,71,54.142857142857146,0.1873350923482849,0.2189973614775725,81,131,147,19,0
183,33,22,72,20,38.81818181818182,0.1092896174863388,0.3934426229508196,59,45,68,6,0
444,81,45,215,128,38.370370370370374,0.2882882882882883,0.4842342342342342,44,160,234,5,0
0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1
220,37,28,98,71,41.62162162162162,0.3227272727272727,0.4454545454545454,50,58,105,4,0
266,42,20,128,22,44.333333333333336,0.0827067669172932,0.4812030075187969,34,130,101,1,0
91,20,14,38,25,31.85,0.2747252747252747,0.4175824175824176,4,58,24,5,0
251,30,30,194,56,58.56666666666667,0.2231075697211155,0.7729083665338645,37,104,104,2,0
284,62,20,165,64,32.064516129032256,0.2253521126760563,0.5809859154929577,25,144,100,4,0
230,27,33,108,45,59.629629629629626,0.1956521739130435,0.4695652173913043,81,40,100,2,0
127,18,13,91,43,49.388888888888886,0.3385826771653543,0.7165354330708661,11,45,62,8,0
49,5,9,2,48,68.6,0.979591836734694,0.0408163265306122,0,8,41,0,0
1292,123,34,121,405,73.52845528455283,0.3134674922600619,0.0936532507739938,379,194,695,16,0
408,50,34,165,38,57.12,0.0931372549019607,0.4044117647058823,56,137,180,15,0
205,29,20,22,83,49.48275862068965,0.4048780487804878,0.1073170731707317,35,88,78,2,0
166,22,35,63,9,52.81818181818182,0.0542168674698795,0.3795180722891566,14,126,26,0,0
501,38,26,232,64,92.28947368421052,0.1277445109780439,0.4630738522954092,188,65,235,9,0
71,12,17,35,14,41.41666666666667,0.1971830985915492,0.4929577464788732,13,25,30,1,0
237,30,37,175,32,55.3,0.1350210970464135,0.7383966244725738,25,140,70,1,0
1194,97,48,851,231,86.16494845360825,0.1934673366834171,0.7127303182579564,41,658,477,12,0
105,12,17,90,27,61.25,0.2571428571428571,0.8571428571428571,3,33,66,0,0
280,49,34,118,59,40.0,0.2107142857142857,0.4214285714285714,106,64,88,14,0
230,44,23,71,45,36.59090909090909,0.1956521739130435,0.308695652173913,19,97,104,5,0
382,49,30,148,43,54.57142857142857,0.112565445026178,0.387434554973822,92,101,182,2,0
384,48,32,109,98,56.0,0.2552083333333333,0.2838541666666667,121,96,160,1,0
387,46,28,135,68,58.891304347826086,0.1757105943152454,0.3488372093023256,106,46,223,11,0
191,37,15,42,34,36.13513513513514,0.1780104712041884,0.2198952879581152,63,35,90,3,0
120,14,16,27,13,60.0,0.1083333333333333,0.225,13,60,45,1,0
161,22,32,67,57,51.22727272727273,0.3540372670807453,0.4161490683229814,50,40,55,1,0
307,28,42,114,29,76.75,0.0944625407166123,0.3713355048859935,29,188,90,0,0
101,14,11,6,21,50.5,0.2079207920792079,0.0594059405940594,18,36,46,0,0
267,42,21,60,79,44.5,0.2958801498127341,0.2247191011235955,76,66,121,4,0
502,51,32,95,64,68.90196078431373,0.1274900398406374,0.1892430278884462,81,171,227,15,0
176,38,16,78,22,32.421052631578945,0.125,0.4431818181818182,12,45,119,0,0
511,76,38,129,125,47.065789473684205,0.2446183953033268,0.2524461839530332,176,149,152,22,0
452,50,31,192,33,63.279999999999994,0.0730088495575221,0.4247787610619469,80,149,207,8,0
333,32,25,260,79,72.84375,0.2372372372372372,0.7807807807807807,105,66,151,9,0
165,29,22,66,9,39.82758620689655,0.0545454545454545,0.4,40,59,66,0,0
362,46,37,114,38,55.08695652173913,0.1049723756906077,0.3149171270718232,95,117,130,11,0
321,40,22,154,30,56.175,0.0934579439252336,0.4797507788161994,31,178,111,1,0
638,68,43,395,140,65.6764705882353,0.219435736677116,0.6191222570532915,75,188,345,7,0
187,38,22,80,27,34.44736842105263,0.1443850267379679,0.427807486631016,39,41,67,36,0
1203,111,36,221,239,75.86486486486486,0.198669991687448,0.1837073981712385,127,292,765,7,0
229,35,18,92,55,45.8,0.2401746724890829,0.4017467248908297,12,68,146,2,0
157,35,15,39,54,31.4,0.3439490445859872,0.2484076433121019,51,45,56,5,0
780,74,46,653,188,73.78378378378379,0.241025641025641,0.8371794871794872,80,351,337,12,0
266,37,17,58,37,50.32432432432432,0.1390977443609022,0.2180451127819548,76,62,128,0,0
43,8,9,15,13,37.625,0.3023255813953488,0.3488372093023256,7,17,19,0,0
193,18,42,172,40,75.05555555555554,0.2072538860103626,0.8911917098445595,39,110,34,7,0
409,43,27,225,101,66.5813953488372,0.2469437652811736,0.5501222493887531,80,122,196,10,0
356,55,25,169,50,45.30909090909091,0.1404494382022472,0.4747191011235955,61,130,165,0,0
455,69,27,180,125,46.15942028985507,0.2747252747252747,0.3956043956043956,46,177,214,15,0
494,65,24,261,106,53.2,0.2145748987854251,0.52834008097166,21,232,240,0,0
611,63,36,334,99,67.88888888888889,0.1620294599018003,0.546644844517185,113,77,402,1,0
417,35,26,164,46,83.4,0.1103117505995203,0.3932853717026379,146,107,160,0,0
94,25,14,25,20,26.32,0.2127659574468085,0.2659574468085106,27,27,40,0,0
141,28,19,20,16,35.25,0.1134751773049645,0.1418439716312056,35,39,39,27,0
439,34,30,366,158,90.38235294117648,0.3599088838268792,0.8337129840546698,151,56,192,32,0
47,6,9,5,0,54.833333333333336,0.0,0.1063829787234042,7,23,17,0,0
