material_key,context,component,material_type
46,File: Lecture recording Topic 5 (Offline recording),File,Lecture Material
47,File: Recorded Session (2022/06/14),File,Recorded Session
48,File: Recorded Session (2022/06/07),File,Recorded Session
49,"File: Recorded Session June 12, 2023",File,Recorded Session
50,"Unit: ICT001 Theory of Programming (S1, 2025)",Overview report,Course Page
51,"File: Recorded Drop-in Session (Files, Struct, Pointers)",File,Recorded Session
52,Assignment: Supplementary Assignment,Assignment,Assignment
53,Assignment: Assessed Exercise Week 13 (for students enrolled Face-to-Face),Assignment,Assignment
54,Echo link: ICT001 - Topic 1 (Offline recording),Echo link,Other
55,"Echo link: Example 1.3 (Dog, Rabbit, Carrot)",Echo link,Other
56,Echo link: Example 1.2 (Hanoi Tower),Echo link,Other
57,Echo link: Example 1.1 (Water buckets),Echo link,Other
58,Assignment: Assessed Exercise Week 10 (for students enrolled Face-to-Face),Assignment,Assignment
59,"Unit: ICT001 Theory of Programming (S1, 2025)",Forum,Forum
60,Assignment: Assessed Exercise Week 12 (for students enrolled Face-to-Face),Assignment,Assignment
61,Assignment: Assignment 2,File submissions,Assignment
62,Assignment: Submit the Assessed Exercise of Week 4,Assignment,Assignment
63,Assignment: Submit Assessed Exercise of Week 3 (for students enrolled Online Flexible mode),Assignment,Assignment
64,Assignment: Submit the Assessed Exercise of Week 13 (Students enrolled in Online Flexible Model),Assignment,Assignment
65,Teams online session: Online Live Lectures,Teams online session,Other
66,File: Solutions (Hidden from Students)  (Not Yet) ,File,Lecture Material
67,Assignment: Submit the Assessed Exercise of Week 11 (Students enrolled in Online Flexible Model),Assignment,Assignment
68,Assignment: Submit the Assessed Exercise of Week 8 (Students enrolled in Online Flexible Model),Assignment,Assignment
69,Assignment: Submit the Assessed Exercise of Week 7 (Students enrolled in Online Flexible Model),Assignment,Assignment
70,Assignment: Submit the Assessed Exercise of Week 6,Assignment,Assignment
71,Assignment: Assignment 2,Submission comments,Assignment
72,File: ICT001 - Assignment 2 - Solution and Marking Guide,File,Assignment
73,Assignment: Submit the Assessed Exercise of Week 14 (Students enrolled in Online Flexible Model),System,Assignment
74,Assignment: Submit the Assessed Exercise of Week 14 (Students enrolled in Online Flexible Model),File submissions,Assignment
75,Assignment: Submit the Assessed Exercise of Week 13 (Students enrolled in Online Flexible Model),System,Assignment
76,Assignment: Submit the Assessed Exercise of Week 13 (Students enrolled in Online Flexible Model),File submissions,Assignment
77,Assignment: Submit the Assessed Exercise of Week 12 (Students enrolled in Online Flexible Model),System,Assignment
78,Assignment: Submit the Assessed Exercise of Week 12 (Students enrolled in Online Flexible Model),File submissions,Assignment
79,Assignment: Submit the Assessed Exercise of Week 11 (Students enrolled in Online Flexible Model),System,Assignment
80,Assignment: Submit the Assessed Exercise of Week 11 (Students enrolled in Online Flexible Model),File submissions,Assignment
81,Assignment: Submit the Assessed Exercise of Week 10 (Students enrolled in Online Flexible Model),System,Assignment
82,Assignment: Submit the Assessed Exercise of Week 10 (Students enrolled in Online Flexible Model),File submissions,Assignment
83,Assignment: Assignment 1,File submissions,Assignment
84,File: Lab - Guide for Tutors (Hidden from Students),File,Lecture Material
85,File: Solution and Marking Guide (do not share with students),File,Lecture Material
86,Assignment: Assignment 1,Submission comments,Assignment
87,Assignment: Submit the Assessed Exercise of Week 8 (Students enrolled in Online Flexible Model),System,Assignment
88,Assignment: Submit the Assessed Exercise of Week 8 (Students enrolled in Online Flexible Model),File submissions,Assignment
89,Assignment: Submit the Assessed Exercise of Week 7 (Students enrolled in Online Flexible Model),System,Assignment
90,Assignment: Submit the Assessed Exercise of Week 7 (Students enrolled in Online Flexible Model),File submissions,Assignment
91,Assignment: Submit the Assessed Exercise of Week 6,System,Assignment
92,Assignment: Submit the Assessed Exercise of Week 6,File submissions,Assignment
94,user_enrolment,core,Other
95,role,core,Other
96,user_profile,core,Lecture Material
97,dashboard,core,Other
98,tour,tool_usertours,Other
99,mycourses,core,Other
100,course,core,Other
101,course_module,mod_forum,Forum
102,grade_report,gradereport_user,Other
103,user_list,core,Other
104,notification,core,Other
105,course_module,mod_quiz,Quiz
106,course_module_completion,core,Other
107,course_module,mod_resource,Lecture Material
108,attempt,mod_quiz,Quiz
109,attempt_summary,mod_quiz,Quiz
93,user,core,Other
110,course_module,mod_assign,Assignment
111,submission_status,mod_assign,Assignment
